# "asas_sn_id":300648533922,"ra_deg":86.48637,"dec_deg":-14.69174,"name":"BD Lep"
asas_sn_id,jd,flux,flux_err,mag,mag_err,limit,fwhm,image_id,camera,quality,phot_filter
300648533922,2455971.8283267,14.813803635311462,0.12291111572856236,13.533114945631974,0.009018550679106861,16.988378491154098,2.24,ba007200,ba,G,V
300648533922,2455971.8366256,13.379113390463466,0.12513843978494454,13.643713068319263,0.010166596191752066,16.96887955385226,2.09,bb006047,bb,G,V
300648533922,2455984.8797131,15.76630766338949,0.13060046080363455,13.465456411710097,0.009003821671086676,16.922494620469376,2.17,ba009115,ba,B,V
300648533922,2455988.8722716,21.016358401284233,0.15613322804699262,13.153387739372864,0.008075139719519208,16.728618046626632,1.74,bb008405,bb,B,V
300648533922,2456224.0115769,15.943904671120258,0.11633839836480783,13.453294681901912,0.007931230362933915,17.048048692290156,2.32,ba023555,ba,G,V
300648533922,2456227.0551024,15.443033569011494,0.12462199845245286,13.48794986580087,0.008771508095525571,16.973369615251986,2.23,ba028765,ba,G,V
300648533922,2456229.0045734,22.967007931398186,0.15968457914812256,13.057020353569364,0.0075573707835460985,16.70419894857561,2.28,ba028195,ba,G,V
300648533922,2456233.0494666,15.589527187666299,0.1570542569580316,13.477699045169217,0.010950373722846726,16.722232112545395,2.23,ba027045,ba,G,V
300648533922,2456236.0034049,15.362904561334503,0.13228302656471774,13.493598073008258,0.009359291263306565,16.90859608672641,2.12,ba026096,ba,G,V
300648533922,2456238.0510596,32.516269402904825,0.19151247939741287,12.679529621765322,0.006401894875949464,16.506863696520448,2.12,ba025546,ba,G,V
300648533922,2456240.0419825,19.20254393644852,0.06498937067147009,13.251384485834155,0.003678711556597071,17.68025056500104,1.72,ba024987,ba,G,V
300648533922,2456243.0041471,19.971288784146967,0.035158991782637115,13.208766175517077,0.0019135618050972086,18.347265361739392,2.08,ba024294,ba,G,V
300648533922,2456246.1221949,17.08594003506521,0.09832239503548963,13.378184209950332,0.006254977384768087,17.230725271207646,2.14,ba028937,ba,G,V
300648533922,2456252.9228716,14.252739867336128,0.16984323843150193,13.575035507710558,0.012952752762260272,16.637235738657694,2.16,ba030406,ba,B,V
300648533922,2456271.9229182,15.652454587716978,0.12639873149825503,13.47332527340326,0.008777532288731007,16.957999604896322,2.02,ba031900,ba,G,V
300648533922,2456310.8699095,16.675649550330434,0.11753222390161791,13.404574505597243,0.007661015956157212,17.036964009199707,1.86,ba035997,ba,G,V
300648533922,2456315.9283626,26.495704141531185,0.1764749700146726,12.901842740322527,0.007239687556764836,16.595648601737924,2.12,ba036702,ba,G,V
