# "asas_sn_id":429497060696,"ra_deg":308.42579,"dec_deg":-5.647,"name":"CH Aql"
asas_sn_id,jd,flux,flux_err,mag,mag_err,limit,fwhm,image_id,camera,quality,phot_filter
429497060696,2456229.7162269,12.158552837414717,0.1301411744649045,13.74757668841837,0.011634427240067514,16.92631958936274,2.61,ba027734,ba,G,V
429497060696,2456233.8302382,13.141388101039915,0.14411679618459267,13.663178301050023,0.011920254565238505,16.815569896444217,2.33,ba026615,ba,G,V
429497060696,2456236.7804021,27.57452019128094,0.16770223765997466,12.858511493857181,0.00661063328283745,16.651009250028515,2.42,ba025687,ba,G,V
429497060696,2456241.7038614,11.914327352560747,0.11379501732622985,13.76960758351313,0.010381638221278024,17.072048277964694,2.28,ba024411,ba,G,V
429497060696,2456271.6928699,11.079542073802806,0.18895123506893569,13.84847687694082,0.01853702760283399,16.521482056168594,2.56,ba031779,ba,G,V
429497060696,2456381.1275988,16.513470026516313,0.16341033015320783,13.415185548280009,0.010756063007615151,16.679157625078112,1.67,ba046428,ba,G,V
429497060696,2456390.0962227,31.551243487800583,0.19658330702461205,12.71224020402556,0.006772395760505197,16.478489801885956,2.13,ba047995,ba,G,V
429497060696,2456400.0965005,11.158452112885929,0.12558937637289208,13.840771519593776,0.01223379285304469,16.96497413390341,2.11,ba050451,ba,G,V
429497060696,2456406.0550205,32.824452855839425,0.22474596125268226,12.669287665379397,0.00744228972805785,16.333126653469492,2.05,ba051769,ba,G,V
429497060696,2456409.059936,12.212748421152952,0.18364552774845294,13.742747877369595,0.016344781468573034,16.552405502183547,2.16,ba052402,ba,G,V
429497060696,2456415.0616554,21.318765818258406,0.15462838956732788,13.137876257035286,0.007883868039972515,16.73913331169189,2.33,ba053693,ba,B,V
429497060696,2456436.0191949,31.044043115963518,0.21749271090272615,12.729835709665258,0.007615152435633515,16.36874462743617,2.37,ba054878,ba,G,V
429497060696,2456444.0080898,12.78065858582518,0.11671904491434688,13.69339832066129,0.00992660325200453,17.0445020807619,2.47,ba055946,ba,G,V
429497060696,2456447.0057636,17.851611830012498,0.07497823363625392,13.330587817363241,0.0045653065289258735,17.52501838131934,2.84,ba056346,ba,B,V
429497060696,2456448.9994134,14.52442522834033,0.09793870165438208,13.554534016594143,0.00732938541940898,17.234970537673277,2.15,ba056872,ba,G,V
429497060696,2456450.0049036,14.992028044176012,0.08674635729858239,13.52013043967129,0.006289310460530776,17.36672827690268,2.60,ba057170,ba,G,V
429497060696,2456450.9833064,13.145119920338981,0.10602370796786968,13.662870023408388,0.00876699197367757,17.148848921827145,2.26,ba057462,ba,G,V
429497060696,2456451.9826316,31.438605514843168,0.19319800087786906,12.716123218751223,0.006679616465240971,16.497349823108202,2.14,ba057746,ba,G,V
429497060696,2456452.9867077,11.99490682552259,0.14550260250499114,13.762289207546146,0.013185179761988356,16.8051794903816,2.02,ba058073,ba,B,V
429497060696,2456453.984044,20.92633658489045,0.12288215201123662,13.158048388641742,0.006382749125348261,16.988634372504798,1.77,ba058389,ba,G,V
429497060696,2456459.9621296,11.923294457926847,0.11758249973370569,13.768790730935764,0.010719106651179972,17.036499671695786,2.05,ba059575,ba,G,V
429497060696,2456461.9654401,11.270885067647715,0.12780843781664056,13.829886351557219,0.012325759173683178,16.94595757726966,1.73,ba060227,ba,G,V
429497060696,2456463.9505879,10.601420116046231,0.15654845846343107,13.8963712915314,0.016050808856964246,16.725734405013416,1.74,ba060884,ba,G,V
429497060696,2456465.9566085,12.11877686676928,0.18765209333539146,13.75113443143029,0.016830878966688955,16.528972859907864,1.73,ba061546,ba,G,V
429497060696,2456470.9397073,11.0814848652757,0.23221284218826313,13.848286510397646,0.02277720597165048,16.297640808472952,2.10,ba062904,ba,G,V
429497060696,2456472.9532168,11.592792923103824,0.1454299672881131,13.799311208704378,0.013635717678100307,16.80572162759504,2.27,ba063398,ba,G,V
429497060696,2456474.964905,27.03176136596572,0.17060490528085517,12.88009554234221,0.006860082549751645,16.63237760875262,1.76,ba063951,ba,G,V
429497060696,2456475.9473701,12.092734674538388,0.11857654615167239,13.753470094101516,0.01065826329889118,17.027359403066693,1.70,ba064270,ba,G,V
429497060696,2456478.9103918,18.858815702812098,0.0915758550441405,13.270995363508797,0.0052781136653890295,17.30790393776469,1.73,ba065173,ba,G,V
429497060696,2456479.9156415,10.683925295631333,0.12745276989101215,13.887954297824791,0.012966734193040423,16.948983197943438,1.75,ba065501,ba,G,V
429497060696,2456482.9241575,12.934859116561398,0.10785584062605433,13.680377147404174,0.009063462409578345,17.13024722353475,2.23,ba066506,ba,G,V
429497060696,2456485.8978153,21.53571167962928,0.11922854689420595,13.126883333909538,0.00601773688987128,17.021405766191716,2.07,ba067301,ba,G,V
429497060696,2456487.9312405,13.558873486745481,0.09790965256830172,13.62922238327297,0.0078489953833084,17.23529261997853,2.01,ba068034,ba,G,V
429497060696,2456490.8962505,34.01515704429316,0.2178700312408936,12.630600203537579,0.006962050801071597,16.36686265447497,1.75,ba069070,ba,G,V
429497060696,2456492.9126036,19.7385685498813,0.12321284278127746,13.221492268919654,0.0067850413106037046,16.985716449220575,2.06,ba069795,ba,G,V
429497060696,2456497.9173792,30.206575515812723,0.2551000473695057,12.759527673002587,0.009179546355365298,16.195580045542187,1.78,ba071079,ba,B,V
429497060696,2456508.8913265,17.765131249986375,0.06473996846677545,13.335860353431775,0.00396110391485012,17.684425184845466,2.07,ba072636,ba,G,V
429497060696,2456512.8850208,12.593738127343192,0.11007327835900982,13.709394758533564,0.009500345852178918,17.10815164006571,2.23,ba073644,ba,G,V
429497060696,2456517.8459353,17.778695644320248,0.08218186197053567,13.335031666369874,0.0050244468224572136,17.425416451874344,1.73,ba074757,ba,G,V
429497060696,2456519.8021069,16.14986708366208,0.09360628117832767,13.439359023618483,0.006300111157290005,17.284093914204483,1.73,ba075453,ba,G,V
429497060696,2456520.783176,10.542284570070386,0.14888949195219425,13.902444566921888,0.015351170158631262,16.780196273678875,1.77,ba075574,ba,G,V
429497060696,2456525.829032,10.414184808192381,0.20130185200619152,13.9157182037235,0.021010416552639796,16.452736967479034,1.69,ba077111,ba,G,V
429497060696,2456528.858083,12.089754588623308,0.1382651537647955,13.753737691630658,0.012431038985301842,16.860574541279945,1.71,ba077987,ba,G,V
429497060696,2456533.8352888,15.084605962967945,0.08384684494380605,13.513446479251032,0.0060417802866484654,17.40363958050399,1.71,ba078946,ba,G,V
429497060696,2456534.859881,26.380772458899187,0.1595787390752272,12.906562634439776,0.006575059598386117,16.70491882083595,2.04,ba079341,ba,G,V
429497060696,2456537.8449916,12.2501569197774,0.11089225852498469,13.739427274815217,0.009839470988287068,17.10010332174933,2.05,ba080450,ba,G,V
429497060696,2456540.8561577,14.104341481074407,0.0955547015322197,13.586399369144935,0.0073639599659898755,17.261726242926557,2.06,ba081410,ba,G,V
429497060696,2456544.8254916,12.209563317042237,0.11728575023582741,13.743031076020532,0.010441365331056118,17.039243268116987,2.12,ba081927,ba,G,V
429497060696,2456554.8235431,15.873826191815926,0.28821946268812554,13.458077352640778,0.0197357600414275,16.06304813314943,2.12,ba083249,ba,G,V
429497060696,2456559.8176076,24.051304465577985,0.1667615365319245,13.006934814297573,0.007536495160503037,16.657116673579587,2.16,ba084451,ba,G,V
429497060696,2456563.7765942,16.060176992597192,0.06722302618380935,13.445405586642787,0.004549670078680467,17.643561245578226,1.71,ba085153,ba,G,V
429497060696,2456571.7690049,11.16759006674839,0.13355503915213454,13.839882745146422,0.012999091115439333,16.898205696203938,1.77,ba087327,ba,G,V
429497060696,2456592.7554966,10.43727859490538,0.10015711071013228,13.913313214672447,0.010430537394878587,17.210651924417032,1.99,ba090093,ba,G,V
429497060696,2456593.7383992,16.66273226449067,0.08390518361359388,13.405415864106072,0.005473369258346108,17.402884413379944,1.81,ba090481,ba,G,V
429497060696,2456597.7326707,11.367936181642872,0.08414731644502808,13.820577337406297,0.008045829333953156,17.39975571772502,1.78,ba091337,ba,G,V
429497060696,2456736.1428555,23.223910403215214,0.21926384295851337,13.044943036170517,0.010262279691379845,16.35993883977087,1.70,ba111817,ba,G,V
429497060696,2456737.1429868,11.139282600960993,0.14610631417307354,13.842638349432693,0.014256861662167355,16.80068393133489,1.72,ba112246,ba,B,V
429497060696,2456751.1133279,11.762366626757352,0.08577810056008678,13.783544624500273,0.007926726719611261,17.37891533081154,2.14,ba113812,ba,G,V
429497060696,2456756.0989978,13.012146001404023,0.07424648244959922,13.673909085536183,0.0062021051951057,17.535666686041054,2.74,ba114761,ba,G,V
429497060696,2456765.080594,11.968351630362136,0.14940045369877075,13.764695553800376,0.013568434694607166,16.77647660281361,1.74,ba116419,ba,G,V
429497060696,2456767.087047,11.819426759567051,0.1590822305650786,13.778290369920793,0.014629767714035409,16.70830221417896,3.22,ba116748,ba,G,V
429497060696,2456782.0417016,24.855538313299462,0.15955573483846117,12.971223471047326,0.006977525265294593,16.705075347534283,2.37,ba118437,ba,G,V
429497060696,2456784.0517643,16.705666106346776,0.09705453693512026,13.402621912072888,0.00631486713636167,17.244816789089505,2.18,ba118913,ba,G,V
429497060696,2456788.0818625,11.507951470040446,0.0885091300222502,13.807286350098764,0.008359921951495975,17.344886213718592,1.77,ba120002,ba,G,V
429497060696,2456789.0284677,28.30281295586913,0.20661398049072888,12.830207401351041,0.007934914947396003,16.424457132124587,2.54,ba120302,ba,G,V
429497060696,2456801.0063418,10.37471325439012,0.11005540765288357,13.919841149190887,0.011530481871423309,17.108327926700948,2.06,ba122727,ba,G,V
429497060696,2456803.0045375,15.664362529356822,0.08302276666103044,13.472499590260728,0.0057609837301651375,17.41436338925913,2.30,ba123448,ba,B,V
429497060696,2456805.0155188,22.721767254354873,0.1494865606711564,13.06867613720937,0.007151089535199932,16.775851018860525,2.36,ba124015,ba,G,V
429497060696,2456809.0005354,14.01631969549191,0.06556286154130077,13.593196417830013,0.005084357483592303,17.670711642608495,2.45,ba125074,ba,B,V
429497060696,2456810.0090275,15.532978067937732,0.0729341048230858,13.481644581924623,0.005103734811696914,17.555029751451606,2.38,ba125367,ba,G,V
429497060696,2456812.998393,11.490885114332979,0.08898011584440937,13.808897698012643,0.00841689010549283,17.339123976611393,1.72,ba126318,ba,G,V
429497060696,2456814.9847732,10.979184636820275,0.09236452981354427,13.85835618284706,0.009144233509062879,17.298593334233836,1.63,ba126910,ba,G,V
429497060696,2456815.990768,15.119706001791416,0.0759629517863559,13.51092303821795,0.005460980910935158,17.5108518129004,1.64,ba127233,ba,G,V
429497060696,2456816.9938161,10.20234666268857,0.11173645192984263,13.938031213974941,0.011904385251415043,17.091869201947873,1.82,ba127589,ba,G,V
429497060696,2456818.002449,12.08901523462072,0.09708903320222574,13.75380409231315,0.008729541305091851,17.244430952499673,1.62,ba127929,ba,G,V
429497060696,2456818.9819542,32.29475365791443,0.21613221623850104,12.686951464206084,0.0072744422975586824,16.375557626725705,1.72,ba128221,ba,G,V
429497060696,2456819.9790356,11.375593482857031,0.11805474915797752,13.8198462451268,0.011280323942035993,17.032147736791572,1.75,ba128479,ba,G,V
429497060696,2456826.9882914,11.61154215216452,0.10567734984812938,13.797556646794577,0.00989245727331055,17.15240160965805,1.68,ba130729,ba,G,V
429497060696,2456828.9460258,11.344286453273272,0.08838293719441769,13.822838443773263,0.008468440072421899,17.346435318179378,1.73,ba131340,ba,G,V
429497060696,2456830.981318,10.272946344422447,0.10467027035624148,13.93054385501478,0.011074917475616486,17.162798028870576,1.77,ba131981,ba,G,V
429497060696,2456831.748343,10.592126169079908,0.11923044779179554,13.897323541354769,0.012235344514256924,17.021388456101676,1.65,be014024,be,G,V
429497060696,2456834.9739903,24.522978438354947,0.15959976455243507,12.985848363801244,0.007074100129573668,16.704775777857797,2.11,ba132726,ba,G,V
429497060696,2456838.7402966,10.64069841673965,0.11934491938631883,13.892356068505338,0.01219118646002727,17.020346555040405,1.58,be016252,be,G,V
429497060696,2456841.7332079,12.129386424299247,0.10407491169290076,13.750184323884117,0.009326514965950402,17.16899126602185,1.47,be017368,be,G,V
429497060696,2456845.6494942,11.597378252957709,0.12150809196929303,13.798881849329646,0.011388264668906349,17.00084339059853,1.68,be018370,be,G,V
429497060696,2456846.9561148,10.327049466860094,0.13385133781888187,13.924840761245003,0.0140883013151652,16.895799603086697,2.02,ba133311,ba,B,V
429497060696,2456848.6101793,22.424141323940436,0.19437103252523286,13.082991849966277,0.009421670082631508,16.490777539421476,1.46,be019502,be,G,V
429497060696,2456855.8100787,11.341246833012603,0.09533293411141053,13.823129397990105,0.009136804444401543,17.26424899433814,1.79,ba135742,ba,G,V
429497060696,2456857.0737534,10.39193423886346,0.1349779143827776,13.91804042997357,0.014118172898017872,16.886699610334965,1.70,ba136224,ba,G,V
429497060696,2456862.6969613,14.507174403237439,0.06310791740284141,13.555824324246375,0.0047283888983291585,17.71214677256094,2.24,be023581,be,G,V
429497060696,2456864.6814729,12.690723830560906,0.11546176420821887,13.701065421255516,0.009889263945323933,17.056260921041485,1.62,be024263,be,B,V
429497060696,2456870.6748078,10.520455656540523,0.12184539789614976,13.904695029108694,0.012588870122253829,16.997833567385378,2.03,be025540,be,G,V
429497060696,2456872.680094,29.3195839439675,0.21590591041900498,12.791886896494088,0.008004217858631904,16.37669506543255,1.73,be026266,be,G,V
429497060696,2456874.5450527,10.870620153343829,0.14796837840324822,13.869145602835617,0.014795401885797735,16.786934107761997,1.67,be026936,be,G,V
429497060696,2456883.7968552,11.98896094309681,0.29518254252406656,13.762827541063778,0.02676216823317092,16.03712972073894,1.57,be030326,be,B,V
429497060696,2456884.9969094,11.47606405303409,0.12256100433708857,13.810298995586962,0.011608377433191078,16.991475615756936,1.81,ba142199,ba,G,V
429497060696,2456885.8950637,13.680593870703206,0.05092816896019826,13.619519028532757,0.00404636713250186,17.944961238420923,1.81,ba142489,ba,G,V
429497060696,2456887.6535925,12.505133413135365,0.09197784205659591,13.717060580928171,0.00799478997752188,17.303148353345172,2.14,be031729,be,G,V
429497060696,2456887.9213412,21.899930191151622,0.14071875795207747,13.108674578335185,0.006984276678143944,16.841476410713955,1.69,ba143097,ba,G,V
429497060696,2456888.8605188,11.384877563416275,0.08342956864779508,13.81896049342776,0.007965330610054588,17.409056398236707,1.59,ba143904,ba,G,V
429497060696,2456889.8641059,22.29139303488269,0.14118052581364723,13.08943838131339,0.006884141024096886,16.837919406047433,1.65,ba143538,ba,G,V
429497060696,2456890.8741727,10.957831039713788,0.09036061770766728,13.860469905255314,0.008963275886419462,17.32240841590821,1.73,ba143376,ba,G,V
429497060696,2456891.8731112,15.089249642240189,0.07000713449773531,13.513112295193487,0.005042975178670623,17.599500639530305,1.73,ba144322,ba,G,V
429497060696,2456892.8872302,10.290732888902477,0.10008481974208008,13.928665640528328,0.010571438275601924,17.211435865368102,1.69,ba144694,ba,G,V
429497060696,2456894.6327956,13.660256723776367,0.07581795679602978,13.621134251198637,0.006032889737785088,17.512926202359044,2.32,be033939,be,G,V
429497060696,2456897.8698434,10.757675752402672,0.09530452954284714,13.880485279383898,0.009629578202776804,17.2645725390193,1.71,ba146218,ba,G,V
429497060696,2456898.8780629,15.609667793024538,0.07601245890478367,13.476297253393863,0.0052930170606771965,17.51014443961511,1.69,ba146534,ba,G,V
429497060696,2456902.8639898,11.524494629786668,0.08423961633252054,13.805726679841559,0.007945233461671572,17.39856544318377,1.69,ba147517,ba,G,V
429497060696,2456909.86361,11.334309720571005,0.3372374874120974,13.82379371459477,0.03234096256009407,15.892516781350754,1.77,ba149260,ba,B,V
429497060696,2456910.9183531,17.90229787960081,0.19757372206460755,13.327509456623014,0.011995892771235027,16.473033439824786,1.88,ba149629,ba,G,V
429497060696,2456911.9202495,10.548230029925499,0.12788141189551744,13.901832424324889,0.013177711736916155,16.94533783736457,1.70,ba149970,ba,B,V
429497060696,2456912.8549256,18.493060256925006,0.14412339392057139,13.29225944263813,0.008471062159573111,16.8155201920583,1.69,ba150298,ba,B,V
429497060696,2456913.8387989,11.073444637935117,0.1105039977523854,13.84907455770785,0.010846944646629776,17.10391141875093,1.82,ba150540,ba,G,V
429497060696,2456914.847747,14.585959275029202,0.07098381401087733,13.549943912893186,0.005289766557152691,17.58445806720122,1.73,ba150919,ba,G,V
429497060696,2456916.8271748,12.884021241461687,0.07135600698953364,13.684652824128843,0.006019927762377494,17.57878004526418,1.73,ba151432,ba,G,V
429497060696,2456920.6989356,14.121188312053642,0.08442457242598901,13.585103293100607,0.0064984502412687405,17.39618421917953,1.47,be040939,be,G,V
429497060696,2456924.8438471,32.16719551707992,0.2069405719504811,12.691248407573646,0.006992695529660537,16.422742280994843,1.80,ba153782,ba,G,V
429497060696,2456927.5770458,31.361298878949896,0.23445996769802502,12.718796301032626,0.008126187373800747,16.28718464163565,1.44,be043055,be,G,V
429497060696,2456930.816407,13.872092743152388,0.05848663668698903,13.604426445373095,0.0045827570762811375,17.79471477445735,1.70,ba154739,ba,B,V
429497060696,2456937.8007505,15.530585982111687,0.13338049139855546,13.481811798679736,0.009335049892220301,16.899625610908732,1.68,ba156323,ba,G,V
429497060696,2456938.7621942,10.5589671972435,0.177705748970307,13.900727802789989,0.01829330645560083,16.58810269887255,1.79,ba156693,ba,B,V
429497060696,2456939.8213694,12.156735220365483,0.11848303640090241,13.747739010381057,0.010593790750305063,17.028215955044736,2.79,ba156980,ba,B,V
429497060696,2456940.7949671,31.366413384462767,0.21120881677010447,12.718619249977625,0.007319128203251605,16.400576284748333,1.80,ba157351,ba,G,V
429497060696,2456942.8032226,21.284325537578553,0.14398767190996836,13.139631672738311,0.0073532205075632255,16.816543119179613,1.80,ba157614,ba,G,V
429497060696,2456943.8219536,10.829527291679447,0.094973125470631,13.873257654250008,0.009532425131756778,17.2683545675861,2.11,ba157831,ba,G,V
429497060696,2456949.5467027,12.060807972080706,0.154259646934397,13.75634039743155,0.013902346315824128,16.74172556111358,1.44,be050272,be,B,V
429497060696,2456952.5433551,19.670720547797522,0.13404283781600923,13.225230732959503,0.0074068835659833136,16.89424735944412,1.50,be051112,be,G,V
429497060696,2456957.5346328,32.03088559931772,0.23459569436748523,12.695859038689477,0.007960920068038625,16.286556301014205,1.40,be052249,be,G,V
429497060696,2456967.7361974,18.778255010859883,0.1762348520935011,13.275643323185495,0.010201140719943299,16.597126897744225,1.75,ba159092,ba,G,V
429497060696,2456968.732905,11.405208068825269,0.2878805482205118,13.817023372874974,0.027436030757337287,16.064325591032734,1.97,ba159492,ba,B,V
429497060696,2456969.7318719,14.249678354153033,0.09131344414381716,13.575268750777244,0.006965332210860507,17.31101958435288,1.84,ba159744,ba,G,V
429497060696,2456971.7114377,12.753569000862612,0.06879668480085487,13.69570206406615,0.005863378730554771,17.61843761667046,2.04,ba160461,ba,G,V
429497060696,2456972.7276016,30.59776226211328,0.19554803396745063,12.745557239681705,0.006946658680898752,16.4842227588525,1.69,ba160863,ba,G,V
