# "asas_sn_id":575526146328,"ra_deg":278.34095,"dec_deg":-52.68419,"name":"ET Tel"
asas_sn_id,jd,flux,flux_err,mag,mag_err,limit,fwhm,image_id,camera,quality,phot_filter
575526146328,2456784.7405253,3.1377723351076003,0.04940278008341128,15.218227830444311,0.01711362975665552,17.977977921119226,1.60,bf002497,bf,G,V
575526146328,2456789.6857798,4.061327825450313,0.07799118546831797,14.938111287946622,0.020873229477247342,17.482242589475973,1.59,bf003838,bf,G,V
575526146328,2456790.6684938,3.550806895018295,0.10294403016230726,15.083963768192943,0.03151274858568536,17.180853477504595,1.54,bf004200,bf,G,V
575526146328,2456791.6960412,2.4719956115584107,0.09301892907961246,15.477162165940314,0.040901177629734366,17.290928055670797,1.53,bf004550,bf,B,V
575526146328,2456797.7532071,2.8605239029064617,0.11251200560411305,15.318667451673187,0.04275288807797783,17.08435922779338,1.65,bf006507,bf,B,V
575526146328,2456805.6781007,3.748484536507262,0.05140133336712606,15.025142095502185,0.014904960654191191,17.93492043147696,1.64,bf007760,bf,G,V
575526146328,2456808.6794932,2.951789440966018,0.048533327553481054,15.284567967344081,0.017871741179714105,17.99725622233428,2.32,bf008280,bf,G,V
575526146328,2456809.7335167,2.6250148287544985,0.04664798842157266,15.411952001801993,0.019315828118539713,18.040274092133398,1.56,bf008742,bf,G,V
575526146328,2456810.7205698,2.538265672493286,0.050863990249848584,15.448438713489685,0.02178138660695877,17.94633032537566,1.60,bf009163,bf,G,V
575526146328,2456811.7290466,5.04057592534931,0.09047569225849252,14.703581002435175,0.01951029906417209,17.321026606879208,1.73,bf009602,bf,G,V
575526146328,2456814.7134454,2.6318313783659817,0.046449878100203366,15.40913625313399,0.019183979015536562,18.044894947178868,1.57,bf010145,bf,G,V
575526146328,2456816.6503834,2.7793361656450593,0.059035109916023974,15.349928707908997,0.023087742507720617,17.784580453230042,2.51,bf010651,bf,G,V
575526146328,2456817.7318367,4.3255415905029855,0.07926336422824119,14.869680174124005,0.019917929091707667,17.464675140072064,1.99,bf011053,bf,G,V
575526146328,2456826.7058163,2.6562464881079944,0.06641856514389326,15.399110471509921,0.027178988422543893,17.656632670685905,1.44,bf012247,bf,G,V
575526146328,2456827.6600418,2.476196017879972,0.06641824500278037,15.475318852400752,0.029155100826811428,17.656637904006345,1.54,bf012625,bf,B,V
575526146328,2456830.7012545,3.073243877537615,0.05061204139976723,15.240788841765484,0.01790065828491495,17.951721757144036,1.41,bf013751,bf,G,V
575526146328,2456832.6946381,2.5669398727002672,0.07402224309911569,15.436242164529379,0.03134431029960399,17.538950790171267,1.44,bf014490,bf,B,V
575526146328,2456835.6863572,3.972055877543674,0.05076999398323275,14.962243031080115,0.01389325270591551,17.94833861383635,1.69,bf015357,bf,G,V
575526146328,2456836.6545231,3.1979931835829616,0.030254271756212214,15.19758757019991,0.010283035675216518,18.51038963470389,2.45,bf015506,bf,G,V
575526146328,2456837.7003956,2.8593564852493483,0.055095220348420286,15.319110645428296,0.020943911465151763,17.8595715828607,2.02,bf015948,bf,G,V
575526146328,2456838.6729636,2.7137790857265323,0.04546318877103151,15.375845176600926,0.018209481307318767,18.06820665940304,2.05,bf016321,bf,G,V
575526146328,2456841.682301,3.8481600761861334,0.05311613819085365,14.996648580589074,0.015003256536397957,17.89929016336486,1.53,bf017453,bf,G,V
575526146328,2456844.5291177,2.804221375055437,0.047628048582469065,15.340250666078925,0.01846131638711992,18.01769942379609,1.44,bf018005,bf,G,V
575526146328,2456847.6655672,3.8776399825328545,0.07084747337633049,14.988362692594151,0.01985953404184793,17.586545476988313,1.47,bf019245,bf,B,V
575526146328,2456855.6402915,2.666493449604227,0.06198008779308172,15.39493010164042,0.025265263882292062,17.731725926002362,1.51,bf021645,bf,G,V
575526146328,2456856.6700985,2.6316436308751507,0.05661376696702274,15.40921370928145,0.02338337246846783,17.830051261342554,1.53,bf022068,bf,G,V
575526146328,2456857.6430417,2.7825067801120182,0.04347429093439074,15.348690826392176,0.016982766905321967,18.116775125201265,1.54,bf022450,bf,G,V
575526146328,2456858.6610981,4.421244151021046,0.06639238374939538,14.845920158807704,0.01632247214701915,17.657060739132106,1.67,bf022844,bf,G,V
575526146328,2456863.6417169,4.638153693158662,0.06399437290495982,14.793918565439089,0.014997153088361987,17.69700192448932,1.58,bf024080,bf,G,V
575526146328,2456864.6348887,4.6859597594780205,0.07328501222577491,14.782785017547774,0.016999211703305615,17.549818482080834,1.59,bf024348,bf,G,V
575526146328,2456871.4894641,5.662067526763417,0.11192544392872456,14.577343793195666,0.021486513654565578,17.090034329685476,2.85,bf025926,bf,B,V
575526146328,2456874.5389267,2.5240927209190422,0.0806415890567973,15.454518143534575,0.03472689431027606,17.44595870108828,1.53,bf027049,bf,B,V
